time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-18T17:40:39.075Z,9.4211,126.0036,35,4.9,mb,,81,8.699,1.04,us,us70004nax,2019-07-19T01:43:06.634Z,"8km NE of Carrascal, Philippines",earthquake,5.6,1.9,0.069,65,reviewed,us,us
2019-07-18T17:39:12.927Z,9.3106,125.7822,24.17,4.8,mb,,89,2.235,1.2,us,us70004nap,2019-07-18T18:15:58.686Z,"16km SW of Adlay, Philippines",earthquake,7.4,5.6,0.071,61,reviewed,us,us
2019-07-18T17:17:51.181Z,0.279,126.3185,30.56,5.3,mww,,31,1.156,1,us,us70004na1,2019-07-18T17:35:09.040Z,"129km WSW of Kota Ternate, Indonesia",earthquake,6.8,4.8,0.066,22,reviewed,us,us
2019-07-18T17:08:21.851Z,0.2226,126.3278,37.3,4.8,mb,,96,1.173,1.21,us,us70004n9v,2019-07-18T23:27:34.040Z,"131km WSW of Kota Ternate, Indonesia",earthquake,8.7,7.8,0.083,45,reviewed,us,us
2019-07-18T16:43:37.020Z,35.9271667,-117.6846667,2.53,2.59,ml,33,38,0.03467,0.16,ci,ci38597815,2019-07-18T16:54:12.620Z,"20km E of Little Lake, CA",earthquake,0.18,0.4,0.164,26,automatic,ci,ci
2019-07-18T16:24:25.229Z,14.7831,-92.2476,87.36,5,mb,,131,0.593,1.03,us,us70004n85,2019-07-18T23:38:52.737Z,"8km W of Frontera Hidalgo, Mexico",earthquake,6.3,3.6,0.032,308,reviewed,us,us
2019-07-18T15:49:04.590Z,35.7025,-117.5251667,8.95,2.64,ml,38,51,0.0879,0.18,ci,ci38597535,2019-07-18T15:59:47.230Z,"13km WSW of Searles Valley, CA",earthquake,0.23,0.57,0.21,25,automatic,ci,ci
2019-07-18T14:28:43.720Z,35.7869987,-117.6021652,4.28,2.47,ml,46,53,0.02893,0.17,ci,ci38597079,2019-07-18T14:39:15.360Z,"18km W of Searles Valley, CA",earthquake,0.19,0.49,0.264,22,automatic,ci,ci
2019-07-18T14:20:58.700Z,35.6606667,-117.4816667,5.16,2.74,ml,33,64,0.07569,0.12,ci,ci38597047,2019-07-18T16:55:57.781Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.64,0.118,25,automatic,ci,ci
2019-07-18T14:20:52.020Z,36.0635,-117.8511667,1.51,2.53,ml,17,147,0.05405,0.23,ci,ci38597039,2019-07-18T14:24:50.186Z,"9km ENE of Coso Junction, CA",earthquake,0.47,0.37,0.406,14,automatic,ci,ci
2019-07-18T13:40:57.793Z,53.3234,-163.6205,27.18,3.7,mb,,209,1.515,1.28,us,us70004n1z,2019-07-18T15:38:34.040Z,"168km ESE of Akutan, Alaska",earthquake,8.9,15.3,0.13,15,reviewed,us,us
2019-07-18T12:46:16.430Z,-6.1888,155.1328,152.68,4.7,mb,,98,3.561,0.54,us,us70004n0u,2019-07-18T13:15:02.040Z,"41km WNW of Panguna, Papua New Guinea",earthquake,10.2,8.7,0.068,66,reviewed,us,us
2019-07-18T12:45:40.481Z,52.3166,159.6254,51.61,4.7,mb,,114,0.924,0.91,us,us70004n0v,2019-07-18T21:12:53.225Z,"104km SE of Petropavlovsk-Kamchatskiy, Russia",earthquake,8.2,7.3,0.033,281,reviewed,us,us
2019-07-18T12:17:17.240Z,19.326,-155.1251667,-0.27,2.47,ml,57,186,0.05855,0.17,hv,hv71051017,2019-07-18T20:50:21.760Z,"16km SE of Volcano, Hawaii",earthquake,0.39,0.14,0.219,30,reviewed,hv,hv
2019-07-18T12:02:35.630Z,19.3355,-155.1231667,6.35,2.54,ml,54,182,0.04915,0.11,hv,hv71050997,2019-07-18T20:38:01.930Z,"16km SE of Volcano, Hawaii",earthquake,0.33,0.32,0.156,38,reviewed,hv,hv
2019-07-18T11:51:51.270Z,18.3266,-68.5533,123,2.5,md,7,145,1.0756,0.2,pr,pr2019199002,2019-07-18T16:54:37.213Z,"8km SE of Boca de Yuma, Dominican Republic",earthquake,2.009,1.22,0.29,6,reviewed,pr,pr
2019-07-18T11:17:47.870Z,35.9908333,-117.33,2.63,2.7,ml,35,55,0.1066,0.19,ci,ci38596007,2019-07-18T11:47:42.414Z,"26km N of Trona, CA",earthquake,0.26,0.69,0.092,26,automatic,ci,ci
2019-07-18T10:05:18.120Z,40.2976667,-124.5028333,19.97,2.96,md,30,261,0.1229,0.12,nc,nc73227481,2019-07-18T18:49:03.253Z,"19km W of Petrolia, CA",earthquake,1.06,0.32,0.146,62,reviewed,nc,nc
2019-07-18T09:57:16.730Z,35.5605,-117.3863333,2,2.6,ml,34,48,0.03968,0.25,ci,ci38595599,2019-07-18T10:07:51.070Z,"23km S of Trona, CA",earthquake,0.3,0.46,0.17,26,automatic,ci,ci
2019-07-18T09:34:53.690Z,19.02,-66.0595,50,2.64,md,5,333,0.9673,0.3,pr,pr2019199001,2019-07-18T11:43:52.683Z,"61km N of San Juan, Puerto Rico",earthquake,4.55,8.63,0.02,3,reviewed,pr,pr
2019-07-18T09:15:14.830Z,19.2563333,-155.4743333,10.53,2.74,ml,66,69,0.0246,0.13,hv,hv71050887,2019-07-18T20:11:19.740Z,"5km N of Pahala, Hawaii",earthquake,0.19,0.3,0.135,33,reviewed,hv,hv
2019-07-18T09:13:49.637Z,46.3365,153.0733,20.05,4.7,mb,,158,7.41,0.67,us,us70004myh,2019-07-18T09:48:39.040Z,"Kuril Islands",earthquake,10.4,6.6,0.035,246,reviewed,us,us
2019-07-18T08:57:13.155Z,-27.895,-66.8025,166.96,4.2,mb,,69,2.322,0.73,us,us70004mxx,2019-07-18T09:45:59.654Z,"35km SE of Belen, Argentina",earthquake,10.6,13,0.216,6,reviewed,us,us
2019-07-18T08:52:07.282Z,46.2799,153.3775,10,5.1,mww,,177,7.343,1.22,us,us70004mxv,2019-07-18T09:10:03.040Z,"Kuril Islands",earthquake,10.9,1.9,0.071,19,reviewed,us,us
2019-07-18T08:48:28.080Z,35.8950005,-117.7273331,1.95,2.61,ml,46,36,0.09124,0.17,ci,ci38595231,2019-07-18T08:59:04.730Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.36,0.248,24,automatic,ci,ci
2019-07-18T08:22:02.620Z,36.1075,-117.8916667,4.13,3.05,ml,51,58,0.03146,0.17,ci,ci38595071,2019-07-18T17:14:59.748Z,"9km NE of Coso Junction, CA",earthquake,0.15,0.35,0.133,75,reviewed,ci,ci
2019-07-18T07:44:58.270Z,36.0811667,-117.8665,1.3,2.8,ml,34,55,0.03754,0.19,ci,ci38594839,2019-07-18T07:56:13.120Z,"8km ENE of Coso Junction, CA",earthquake,0.28,0.49,0.279,25,automatic,ci,ci
2019-07-18T06:23:57.911Z,51.2993,-175.4254,50.93,4,mb,,190,0.888,1.12,us,us70004mwq,2019-07-18T18:37:13.305Z,"107km SE of Adak, Alaska",earthquake,8.4,8.9,0.055,89,reviewed,us,us
2019-07-18T06:14:29.400Z,36.1156667,-117.8883333,3.8,3.31,ml,46,57,0.02717,0.16,ci,ci38594383,2019-07-18T15:37:00.940Z,"10km NE of Coso Junction, CA",earthquake,0.14,0.33,0.103,138,reviewed,ci,ci
2019-07-18T06:12:45.450Z,18.1811,-67.3205,17,2.52,md,18,194,0.1793,0.22,pr,pr2019199000,2019-07-18T06:41:50.456Z,"17km SSW of Stella, Puerto Rico",earthquake,0.66,0.56,0.24,17,reviewed,pr,pr
2019-07-18T05:50:20.271Z,-0.9657,128.7557,10,4.1,mb,,132,2.215,0.53,us,us70004mwh,2019-07-18T06:22:55.040Z,"128km ENE of Laiwui, Indonesia",earthquake,7.6,1.9,0.145,13,reviewed,us,us
2019-07-18T05:40:42.810Z,19.0844994,-155.4644928,35.63,2.58,ml,45,188,0.07057,0.17,hv,hv71050747,2019-07-18T05:46:22.730Z,"13km S of Pahala, Hawaii",earthquake,0.79,1.18,4.75,4,automatic,hv,hv
2019-07-18T05:35:03.895Z,31.2713,-103.3475,5,2.9,ml,,56,0.35,0.47,us,us70004mw3,2019-07-18T06:06:05.040Z,"21km SE of Pecos, Texas",earthquake,1.6,1.9,0.073,61,reviewed,us,us
2019-07-18T05:26:41.640Z,36.1136667,-117.8783333,5.82,2.55,ml,30,56,0.0194,0.15,ci,ci38594095,2019-07-18T05:37:34.150Z,"10km NE of Coso Junction, CA",earthquake,0.25,0.5,0.205,25,automatic,ci,ci
2019-07-18T05:18:11.570Z,36.1151667,-117.8811667,5.2,3.36,ml,57,56,0.02144,0.17,ci,ci38594055,2019-07-18T21:07:46.655Z,"10km NE of Coso Junction, CA",earthquake,0.15,0.37,0.115,105,reviewed,ci,ci
2019-07-18T04:32:38.280Z,35.9928333,-117.6818333,0.16,2.49,ml,29,62,0.08647,0.21,ci,ci38593775,2019-07-18T05:14:47.914Z,"21km ENE of Little Lake, CA",earthquake,0.3,0.52,0.198,25,automatic,ci,ci
2019-07-18T04:15:37.930Z,36.1075,-117.8913333,3.96,2.86,ml,33,58,0.0312,0.16,ci,ci38593655,2019-07-18T04:26:32.330Z,"9km NE of Coso Junction, CA",earthquake,0.26,0.49,0.15,25,automatic,ci,ci
2019-07-18T04:06:28.700Z,36.1305,-117.8911667,-0.38,2.7,ml,32,58,0.0321,0.36,ci,ci38593583,2019-07-18T12:09:10.652Z,"11km NNE of Coso Junction, CA",earthquake,0.58,31.61,0.218,25,automatic,ci,ci
2019-07-18T04:02:07.920Z,36.1106682,-117.8840027,0.47,3.38,ml,41,54,0.02458,0.2,ci,ci38593567,2019-07-18T12:04:35.781Z,"9km NE of Coso Junction, CA",earthquake,0.28,0.42,0.233,19,automatic,ci,ci
2019-07-18T04:01:32.220Z,36.1138333,-117.8815,2.28,3.43,ml,53,56,0.02189,0.18,ci,ci38593559,2019-07-18T16:17:04.003Z,"10km NE of Coso Junction, CA",earthquake,0.16,0.28,0.187,33,reviewed,ci,ci
2019-07-18T04:00:51.010Z,36.1173333,-117.8781667,5.63,2.84,ml,12,111,0.01887,0.1,ci,ci38593551,2019-07-18T04:04:34.695Z,"10km NE of Coso Junction, CA",earthquake,0.35,0.39,0.103,4,automatic,ci,ci
2019-07-18T03:59:14.870Z,36.1126667,-117.8868333,2.5,4.62,mw,75,54,0.02635,0.19,ci,ci38593535,2019-07-19T02:46:47.732Z,"9km NE of Coso Junction, CA",earthquake,0.13,0.28,,6,reviewed,ci,ci
2019-07-18T03:05:39.350Z,35.631,-117.431,3.82,2.69,ml,35,56,0.03456,0.18,ci,ci38593255,2019-07-18T03:42:50.024Z,"15km S of Searles Valley, CA",earthquake,0.25,0.55,0.186,26,automatic,ci,ci
2019-07-18T03:02:37.870Z,35.616,-117.4558333,10.29,3.24,ml,60,27,0.02989,0.13,ci,ci38593247,2019-07-18T16:37:38.900Z,"18km SSW of Searles Valley, CA",earthquake,0.1,0.18,0.163,110,reviewed,ci,ci
2019-07-18T02:36:31.360Z,35.6326667,-117.4345,6.32,2.83,ml,38,55,0.03356,0.21,ci,ci38593111,2019-07-18T02:47:18.000Z,"15km S of Searles Valley, CA",earthquake,0.28,0.54,0.152,25,automatic,ci,ci
2019-07-18T02:34:59.140Z,35.6205,-117.426,4,2.58,ml,34,53,0.04456,0.15,ci,ci38593095,2019-07-18T02:46:13.500Z,"16km S of Searles Valley, CA",earthquake,0.2,0.44,0.143,25,automatic,ci,ci
2019-07-18T02:33:43.570Z,35.7525,-117.5775,6.68,3.34,ml,60,40,0.06517,0.16,ci,ci38593087,2019-07-18T16:53:57.310Z,"16km W of Searles Valley, CA",earthquake,0.12,0.35,0.17,92,reviewed,ci,ci
2019-07-18T01:28:21.058Z,56.3425,-148.7264,36.47,4,mb,,206,2.553,0.96,us,us70004msp,2019-07-18T18:41:55.048Z,"275km SE of Kodiak, Alaska",earthquake,3.9,14.7,0.517,1,reviewed,us,us
2019-07-18T01:17:07.792Z,1.4701,-90.8891,10,5.4,mww,,163,2.213,0.94,us,us70004msl,2019-07-19T01:19:02.276Z,"251km NNW of Puerto Ayora, Ecuador",earthquake,10,1.9,0.052,35,reviewed,us,us
2019-07-18T00:51:31.312Z,1.6984,-90.7828,10,4.5,mb,,161,2.408,0.53,us,us70004ms8,2019-07-18T01:21:51.040Z,"273km N of Puerto Ayora, Ecuador",earthquake,10.2,1.9,0.07,60,reviewed,us,us
2019-07-18T00:46:46.050Z,35.8101667,-117.631,0.28,2.47,ml,24,56,0.02778,0.22,ci,ci38592551,2019-07-18T00:50:49.639Z,"21km WNW of Searles Valley, CA",earthquake,0.3,31.61,0.119,26,automatic,ci,ci
2019-07-18T00:37:04.606Z,1.4898,-90.944,10,4.5,mb,,166,2.248,0.51,us,us70004mry,2019-07-18T01:41:58.040Z,"255km NNW of Puerto Ayora, Ecuador",earthquake,11.5,1.9,0.079,47,reviewed,us,us
2019-07-18T00:04:14.820Z,19.2511667,-155.3916667,32.31,2.9,ml,66,124,0.01467,0.12,hv,hv71050462,2019-07-18T01:48:25.040Z,"10km ENE of Pahala, Hawaii",earthquake,0.4,0.49,0.138,43,reviewed,hv,hv
2019-07-17T23:47:42.493Z,52.1839,-168.5972,10,4.2,mb,,185,0.805,1.35,us,us70004mr5,2019-07-18T00:08:10.040Z,"85km SSE of Nikolski, Alaska",earthquake,5.9,1.9,0.073,53,reviewed,us,us
2019-07-17T23:43:17.380Z,47.8551666666667,-122.056666666667,26.81,2.97,ml,26,51,,0.12,uw,uw61536697,2019-07-18T22:15:54.149Z,"2km ENE of Cathcart, Washington",earthquake,0.22,0.66,0.207259922798111,19,reviewed,uw,uw
2019-07-17T23:18:51.820Z,35.6416667,-117.4715,6.36,2.52,ml,46,51,0.04537,0.15,ci,ci38592095,2019-07-18T18:19:24.560Z,"15km SSW of Searles Valley, CA",earthquake,0.14,0.33,0.209,62,reviewed,ci,ci
2019-07-17T22:59:47.119Z,-7.281,123.2251,555.64,4.7,mb,,38,1.663,0.78,us,us70004mq3,2019-07-17T23:19:18.040Z,"143km NNE of Palue, Indonesia",earthquake,9.6,6.4,0.06,85,reviewed,us,us
2019-07-17T22:45:35.037Z,30.9711,48.7252,10,4.2,mb,,71,1.658,0.64,us,us70004mqv,2019-07-17T23:51:49.308Z,"36km N of Shadegan, Iran",earthquake,8.5,1.9,0.11,23,reviewed,us,us
2019-07-17T22:41:15.310Z,35.3708333,-117.8423333,2.83,3.24,ml,73,31,0.1032,0.17,ci,ci38591911,2019-07-18T23:42:44.805Z,"19km W of Johannesburg, CA",earthquake,0.12,0.35,0.21,142,reviewed,ci,ci
2019-07-17T22:29:15.770Z,36.1103333,-117.8338333,2.14,2.58,ml,29,55,0.0185,0.16,ci,ci38591847,2019-07-17T22:40:36.580Z,"13km NE of Coso Junction, CA",earthquake,0.22,0.3,0.163,24,automatic,ci,ci
2019-07-17T22:16:44.213Z,8.4684,-102.8086,10,4.8,mb,,178,9.938,1.07,us,us70004mp2,2019-07-17T22:41:45.040Z,"Northern East Pacific Rise",earthquake,5.3,1.9,0.037,228,reviewed,us,us
2019-07-17T22:01:35.670Z,35.6456667,-117.447,4.92,3.35,ml,59,39,0.02716,0.14,ci,ci38591663,2019-07-18T17:30:43.351Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.21,0.152,134,reviewed,ci,ci
2019-07-17T22:01:20.400Z,36.2013333,-117.8921667,1.69,2.73,ml,24,62,0.08887,0.15,ci,ci38591655,2019-07-17T22:04:59.265Z,"14km SE of Olancha, CA",earthquake,0.27,0.58,0.332,25,automatic,ci,ci
2019-07-17T21:49:19.180Z,36.1158333,-117.8366667,2.43,3.87,mw,74,49,0.01483,0.18,ci,ci38591583,2019-07-18T22:40:45.775Z,"13km NE of Coso Junction, CA",earthquake,0.12,0.23,,6,reviewed,ci,ci
2019-07-17T19:54:03.790Z,35.9031667,-117.6926667,2.72,3.36,ml,57,23,0.05631,0.17,ci,ci38590983,2019-07-18T19:48:44.985Z,"20km E of Little Lake, CA",earthquake,0.11,0.31,0.119,101,reviewed,ci,ci
2019-07-17T19:42:31.560Z,35.6536667,-117.4616667,2.53,2.73,ml,18,57,0.03298,0.22,ci,ci37421845,2019-07-17T20:44:12.831Z,"14km SSW of Searles Valley, CA",earthquake,0.3,0.39,0.056,6,reviewed,ci,ci
2019-07-17T19:42:15.090Z,35.6498333,-117.4598333,2.45,3.61,mw,61,38,0.03316,0.18,ci,ci38590903,2019-07-18T19:44:16.486Z,"14km SSW of Searles Valley, CA",earthquake,0.13,0.22,,4,reviewed,ci,ci
2019-07-17T19:02:03.800Z,35.583,-117.42,6.27,2.62,ml,33,47,0.03457,0.24,ci,ci38590679,2019-07-17T19:12:44.430Z,"20km S of Trona, CA",earthquake,0.31,0.67,0.168,25,automatic,ci,ci
2019-07-17T17:12:11.380Z,36.4465,-89.5358333,8.92,2.49,md,47,43,0.05772,0.14,nm,nm60282001,2019-07-18T20:08:45.991Z,"9km NW of Tiptonville, Tennessee",earthquake,0.28,0.45,0.163,39,reviewed,nm,nm
2019-07-17T16:55:34.807Z,11.7639,94.7647,10,4.9,mb,,154,5.708,0.88,us,us70004me9,2019-07-17T17:38:14.040Z,"219km E of Port Blair, India",earthquake,7.5,1.9,0.082,47,reviewed,us,us
2019-07-17T16:46:39.560Z,35.8743333,-117.6808333,4.74,2.82,ml,37,44,0.07746,0.18,ci,ci38589903,2019-07-17T16:57:51.400Z,"22km ESE of Little Lake, CA",earthquake,0.2,0.51,0.156,25,automatic,ci,ci
2019-07-17T16:23:12.600Z,64.8742,-150.9408,16.3,2.8,ml,,,,0.84,ak,ak01993q2lvp,2019-07-17T21:45:16.040Z,"20km SW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-17T15:44:25.245Z,66.3295,-157.4608,0,2.9,ml,,,,0.72,ak,ak01993plpax,2019-07-17T21:20:07.040Z,"69km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-17T15:23:28.180Z,36.3913333,-83.6395,13.97,2.96,md,31,48,0.1468,0.11,se,se60281976,2019-07-19T02:08:49.706Z,"8km SW of New Tazewell, Tennessee",earthquake,0.33,0.62,0.122,29,reviewed,se,se
2019-07-17T15:19:32.811Z,34.3545,45.6295,10,4.5,mb,,52,2.697,0.89,us,us70004m8g,2019-07-17T21:32:37.040Z,"24km WSW of Sarpol-e Zahab, Iran",earthquake,6.6,1.7,0.081,45,reviewed,us,us
2019-07-17T15:12:00.020Z,35.8996667,-117.7176667,8.56,3.08,ml,39,34,0.0728,0.24,ci,ci37421821,2019-07-17T22:17:40.040Z,"18km ESE of Little Lake, CA",earthquake,0.24,0.75,0.129,23,reviewed,ci,ci
2019-07-17T15:11:50.890Z,35.8951667,-117.719,8.17,3.31,ml,58,23,0.07662,0.15,ci,ci38589319,2019-07-18T15:13:39.632Z,"18km ESE of Little Lake, CA",earthquake,0.11,0.34,0.164,130,reviewed,ci,ci
2019-07-17T15:07:20.950Z,35.8965,-117.7186667,8.22,3,ml,54,20,0.07552,0.14,ci,ci38589287,2019-07-17T20:59:59.040Z,"18km ESE of Little Lake, CA",earthquake,0.11,0.31,0.155,73,reviewed,ci,ci
2019-07-17T14:59:59.831Z,43.4767,-127.1646,10,5.4,mww,,157,2.156,1.21,us,us70004m7u,2019-07-18T15:02:13.923Z,"227km W of Bandon, Oregon",earthquake,7.7,1.9,0.043,52,reviewed,us,us
2019-07-17T14:57:58.546Z,-0.9287,128.8009,31.48,5.1,mb,,64,2.215,1.04,us,us70004m7v,2019-07-17T15:14:55.040Z,"134km ENE of Laiwui, Indonesia",earthquake,6,5,0.073,61,reviewed,us,us
2019-07-17T14:50:35.609Z,66.2003,-157.3682,1.3,3,ml,,,,0.98,ak,ak01993p1koz,2019-07-17T15:02:00.352Z,"81km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-17T14:48:57.636Z,66.3237,-157.4507,0,2.7,ml,,,,0.76,ak,ak01993p172p,2019-07-18T05:12:04.040Z,"69km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-17T14:48:46.950Z,35.6823333,-117.472,5.71,3.08,ml,55,36,0.04293,0.14,ci,ci38589175,2019-07-17T19:51:05.040Z,"11km SSW of Searles Valley, CA",earthquake,0.11,0.38,0.146,82,reviewed,ci,ci
2019-07-17T13:34:07.640Z,18.9418,-68.7335,12,2.58,md,10,153,0.5726,0.86,pr,pr2019198005,2019-07-18T05:04:48.040Z,"4km NNW of Salvaleon de Higuey, Dominican Republic",earthquake,1.95,3.37,0.6,9,reviewed,pr,pr
2019-07-17T13:24:40.760Z,35.9288333,-117.6838333,2.24,2.68,ml,36,38,0.03315,0.18,ci,ci38588591,2019-07-17T13:35:29.550Z,"20km E of Little Lake, CA",earthquake,0.19,0.38,0.125,26,automatic,ci,ci
2019-07-17T13:18:49.687Z,68.6408,-147.4761,0,3,ml,,,,0.96,ak,ak01993o9bbd,2019-07-18T05:02:48.040Z,"98km NW of Arctic Village, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-17T12:57:33.460Z,35.9271667,-117.6813333,3.13,3.04,ml,41,39,0.03254,0.16,ci,ci38588455,2019-07-18T20:31:45.520Z,"20km E of Little Lake, CA",earthquake,0.14,0.41,0.169,85,reviewed,ci,ci
2019-07-17T12:11:09.990Z,35.6705,-117.4168333,8.76,2.67,ml,39,70,0.007739,0.19,ci,ci38588111,2019-07-17T17:46:39.387Z,"11km S of Searles Valley, CA",earthquake,0.26,0.55,0.138,24,automatic,ci,ci
2019-07-17T10:41:29.380Z,66.3019,-157.7064,0,3,ml,,,,1.12,ak,ak01993mlwgc,2019-07-17T11:07:19.040Z,"66km S of Kobuk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-17T10:20:10.395Z,-18.4512,120.2778,10,4.5,mb,,84,2.742,1.18,us,us70004m50,2019-07-18T10:47:57.059Z,"213km WSW of Broome, Australia",earthquake,7.4,1.9,0.222,6,reviewed,us,us
2019-07-17T10:09:19.586Z,-15.1913,-173.389,10,4.9,mb,,62,4.661,0.77,us,us70004m4y,2019-07-18T04:54:05.837Z,"92km NNE of Hihifo, Tonga",earthquake,6.4,1.9,0.042,181,reviewed,us,us
2019-07-17T09:46:06.550Z,35.6485,-117.4533333,2.41,2.58,ml,31,58,0.02929,0.15,ci,ci38587239,2019-07-17T15:28:56.335Z,"14km SSW of Searles Valley, CA",earthquake,0.21,0.33,0.125,25,automatic,ci,ci
2019-07-17T09:44:17.854Z,3.3033,-83.0589,10,4.4,mb,,181,5.521,0.87,us,us70004m4n,2019-07-17T13:02:08.400Z,"Off the coast of Central America",earthquake,11.1,2,0.089,36,reviewed,us,us
2019-07-17T09:37:56.830Z,19.1601658,-155.440506,39.09,2.74,md,38,198,0.02097,0.14,hv,hv71049932,2019-07-17T09:54:43.040Z,"6km SE of Pahala, Hawaii",earthquake,0.95,1.45,0.24,18,automatic,hv,hv
